0:0:0.450827 -- LOG:  Vendor: NVIDIA Corporation
0:0:10.677323 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.692313 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.692626 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.692749 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.692930 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.69384 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.693622 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.709735 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.71015 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.710244 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
